"nom","prénom","groupe","rattachement_parti","sexe","département","id_nosdeputes","url_institution"
"DUBIÉ","Jeanine","NI","Parti Radical De Gauche","F","Hautes-Pyrénées","jeanine-dubie","http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA608292"
"FAVENNEC","Yannick","LC","Union Des Démocrates, Radicaux Et Libéraux","H","Mayenne","yannick-favennec-becot","http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA267042"
"SEMPASTOUS","Jean-Bernard","LREM","En Marche !","H","Hautes-Pyrénées","jean-bernard-sempastous","http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA720780"
"DELATTE","Rémi","LR","Les Républicains","H","Côte-d'Or","remi-delatte","http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA267450"
"COLOMBANI","Paul-André","NI","Régions Et Peuples Solidaires","H","Corse-du-Sud","paul-andre-colombani","http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA719286"
"FERRARA","Jean-Jacques","LR","Les Républicains","H","Corse-du-Sud","jean-jacques-ferrara","http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA643103"
"MARTIN","Didier","LREM","En Marche !","H","Côte-d'Or","didier-martin","http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA719154"
"DE COURSON","Yolaine","LREM","En Marche !","F","Côte-d'Or","yolaine-de-courson","http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA719194"
"PARIS","Didier","LREM","En Marche !","H","Côte-d'Or","didier-paris","http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA719202"
"FLORENNES","Isabelle","MODEM","Mouvement Démocrate","F","Hauts-de-Seine","isabelle-florennes","http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA721742"
"CALVEZ","Céline","LREM","En Marche !","F","Hauts-de-Seine","celine-calvez","http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA721750"
"LE GRIP","Constance","LR","Les Républicains","F","Hauts-de-Seine","constance-le-grip","http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA345722"
"MARILOSSIAN","Jacques","LREM","En Marche !","H","Hauts-de-Seine","jacques-marilossian","http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA721946"
"FAUCILLON","Elsa","GDR","Parti Communiste Francais","F","Hauts-de-Seine","elsa-faucillon","http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA721896"
"TAQUET","Adrien","LREM","En Marche !","H","Hauts-de-Seine","adrien-taquet","http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA722086"
"HENNION","Christine","LREM","En Marche !","F","Hauts-de-Seine","christine-hennion","http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA722094"
"MAIRE","Jacques","LREM","En Marche !","H","Hauts-de-Seine","jacques-maire","http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA722178"
"SOLÈRE","Thierry","LC","Les Républicains","H","Hauts-de-Seine","thierry-solere","http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA346876"
"ERRANTE","Sophie","LREM","En Marche !","F","Loire-Atlantique","sophie-errante","http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA607193"
"MAHJOUBI","Mounir","LREM","En Marche !","H","Paris","mounir-mahjoubi","http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA717167"
"OBONO","Danièle","LFI","La France Insoumise","F","Paris","daniele-obono","http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA721960"
"GOASGUEN","Claude","LR","Les Républicains","H","Paris","claude-goasguen","http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA1498"
"PAU-LANGEVIN","George","NG","Parti Socialiste","F","Paris","george-pau-langevin","http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA335532"
"GREGOIRE","Olivia","LREM","En Marche !","F","Paris","olivia-gregoire","http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA721764"
"RENSON","Hugues","LREM","En Marche !","H","Paris","hugues-renson","http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA721824"
"LANG","Anne-Christine","LREM","En Marche !","F","Paris","anne-christine-lang","http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA643205"
"DE SARNEZ","Marielle","MODEM","Mouvement Démocrate","F","Paris","marielle-de-sarnez","http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA717151"
"VANCEUNEBROCK-MIALON","Laurence","LREM","En Marche !","F","Allier","laurence-vanceunebrock-mialon","http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA718728"
"PEYROL","Bénédicte","LREM","En Marche !","F","Allier","benedicte-peyrol","http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA718736"
"BOURNAZEL","Pierre-Yves","LC","Les Républicains","H","Paris","pierre-yves-bournazel","http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA722030"
"DUFRÈGNE","Jean-Paul","GDR","Parti Communiste Francais","H","Allier","jean-paul-dufregne","http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA718720"
"FORISSIER","Nicolas","LR","Les Républicains","H","Indre","nicolas-forissier","http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA1327"
"ANTHOINE","Emmanuelle","LR","Les Républicains","F","Drôme","emmanuelle-anthoine","http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA719318"
"CLAPOT","Mireille","LREM","En Marche !","F","Drôme","mireille-clapot","http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA719294"
"DE LAVERGNE","Célia","LREM","En Marche !","F","Drôme","celia-de-lavergne","http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA719310"
"THOUROT","Alice","LREM","En Marche !","F","Drôme","alice-thourot","http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA719302"
"GAROT","Guillaume","NG","Parti Socialiste","H","Mayenne","guillaume-garot","http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA333285"
