"nom","prénom","groupe","rattachement_parti","sexe","département","id_nossenateurs","url_institution"
"ALLIZARD","Pascal","Groupe Les Républicains","Les Républicains","H","Calvados","pascal-allizard","http://www.senat.fr/senateur/allizard_pascal14133k.html"
"ANGLARS","Jean-Claude","Groupe Les Républicains","Les Républicains","H","Aveyron","jean-claude-anglars","http://www.senat.fr/senateur/anglars_jean_claude20032t.html"
"ANTISTE","Maurice","Groupe Socialiste, Écologiste et Républicain","Parti progressiste Martiniquais","H","Martinique","maurice-antiste","http://www.senat.fr/senateur/antiste_maurice11109j.html"
"APOURCEAU-POLY","Cathy","Groupe communiste républicain citoyen et écologiste","Parti communiste Français","F","Pas-de-Calais","cathy-apourceau-poly","http://www.senat.fr/senateur/apourceau_poly_cathy19760e.html"
"ARNAUD","Jean-Michel","Groupe Union Centriste","Union des démocrates, radicaux et libéraux","H","Hautes-Alpes","jean-michel-arnaud","http://www.senat.fr/senateur/arnaud_jean_michel14189c.html"
"ARTANO","Stéphane","Groupe du Rassemblement Démocratique et Social Européen","Archipel Demain","H","Saint-Pierre-et-Miquelon","stephane-artano","http://www.senat.fr/senateur/artano_stephane19717b.html"
"ARTIGALAS","Viviane","Groupe Socialiste, Écologiste et Républicain","Parti socialiste","F","Hautes-Pyrénées","viviane-artigalas","http://www.senat.fr/senateur/artigalas_viviane19631v.html"
"ASSASSI","Éliane","Groupe communiste républicain citoyen et écologiste","Parti communiste Français","F","Seine-Saint-Denis","eliane-assassi","http://www.senat.fr/senateur/assassi_eliane04085p.html"
"ASSOULINE","David","Groupe Socialiste, Écologiste et Républicain","Parti socialiste","H","Paris","david-assouline","http://www.senat.fr/senateur/assouline_david04059m.html"
"BABARY","Serge","Groupe Les Républicains","Les Républicains","H","Indre-et-Loire","serge-babary","http://www.senat.fr/senateur/babary_serge19515s.html"
"BACCHI","Jérémy","Groupe communiste républicain citoyen et écologiste","Parti communiste Français","H","Bouches-du-Rhône","jeremy-bacchi","http://www.senat.fr/senateur/bacchi_jeremy20112s.html"
"BACCI","Jean","Groupe Les Républicains","Les Républicains","H","Var","jean-bacci","http://www.senat.fr/senateur/bacci_jean20076g.html"
"BANSARD","Jean-Pierre","Groupe Les Républicains","Les Républicains","H","Français établis hors de France","jean-pierre-bansard","http://www.senat.fr/senateur/bansard_jean_pierre19707y.html"
"BARGETON","Julien","Groupe Rassemblement des démocrates, progressistes et indépendants","En marche !","H","Paris","julien-bargeton","http://www.senat.fr/senateur/bargeton_julien19651a.html"
"BAS","Philippe","Groupe Les Républicains","Les Républicains","H","Manche","philippe-bas","http://www.senat.fr/senateur/bas_philippe05008e.html"
"BASCHER","Jérôme","Groupe Les Républicains","Les Républicains","H","Oise","jerome-bascher","http://www.senat.fr/senateur/bascher_jerome19741b.html"
"BAZIN","Arnaud","Groupe Les Républicains","Les Républicains","H","Val-d'Oise","arnaud-bazin","http://www.senat.fr/senateur/bazin_arnaud19667j.html"
"de BELENET","Arnaud","Groupe Union Centriste","Union des démocrates, radicaux et libéraux","H","Seine-et-Marne","arnaud-de-belenet","http://www.senat.fr/senateur/de_belenet_arnaud19543w.html"
"BELIN","Bruno","Groupe Les Républicains","Les Républicains","H","Vienne","bruno-belin","http://www.senat.fr/senateur/belin_bruno20024t.html"
"BELLUROT","Nadine","Groupe Les Républicains","Les Républicains","F","Indre","nadine-bellurot","http://www.senat.fr/senateur/bellurot_nadine20022r.html"
