Nom;Prénom;Groupe;Parti ou groupement politique
Abad;Damien;UMP;Union pour un Mouvement Populaire
Abeille;Laurence;Écolo;Europe Écologie Les Verts
Aboubacar;Ibrahim;SRC;Parti socialiste
Aboud;Élie;UMP;Union pour un Mouvement Populaire
Accoyer;Bernard;UMP;Union pour un Mouvement Populaire
Adam;Patricia;SRC;Parti socialiste
Alaux;Sylviane;SRC;Parti socialiste
Alauzet;Éric;Écolo;Europe Écologie Les Verts
Albarello;Yves;UMP;Union pour un Mouvement Populaire
Allain;Brigitte;Écolo;Europe Écologie Les Verts
Allossery;Jean-Pierre;SRC;Parti socialiste
Ameline;Nicole;UMP;Union pour un Mouvement Populaire
Amirshahi;Pouria;SRC;Parti socialiste
André;François;SRC;Parti socialiste
Andrieux;Sylvie;NI;Non déclarée
Apparu;Benoist;UMP;Union pour un Mouvement Populaire
Appéré;Nathalie;SRC;Parti socialiste
Arribagé;Laurence;UMP;Union pour un Mouvement Populaire
Asensi;François;GDR;Forces de Gauche
Assaf;Christian;SRC;Parti socialiste
Attard;Isabelle;app.Écolo;Europe Écologie Les Verts
Aubert;Julien;UMP;Union pour un Mouvement Populaire
Audibert Troin;Olivier;UMP;Union pour un Mouvement Populaire
Auroi;Danielle;Écolo;Europe Écologie Les Verts
Aviragnet;Joël;SRC;Parti socialiste
Aylagas;Pierre;SRC;Parti socialiste
Ayrault;Jean-Marc;SRC;Parti socialiste
Azerot;Bruno Nestor;GDR;Mouvement Initiative populaire
Bachelay;Alexis;SRC;Parti socialiste
Bachelay;Guillaume;SRC;Parti socialiste
Bacquet;Jean-Paul;SRC;Parti socialiste
Baert;Dominique;SRC;Parti socialiste
Balkany;Patrick;UMP;Union pour un Mouvement Populaire
Bapt;Gérard;SRC;Parti socialiste
Barbier;Jean-Pierre;UMP;Union pour un Mouvement Populaire
Bardy;Serge;SRC;Parti socialiste
Bareigts;Ericka;SRC;Parti socialiste
Bartolone;Claude;SRC;Parti socialiste
Bataille;Christian;SRC;Parti socialiste
Batho;Delphine;SRC;Parti socialiste
Battistel;Marie-Noëlle;SRC;Parti socialiste
Baumel;Laurent;SRC;Parti socialiste
Baumel;Philippe;SRC;Parti socialiste
Baupin;Denis;Écolo;Europe Écologie Les Verts
Bays;Nicolas;SRC;Parti socialiste
Beaubatie;Catherine;SRC;Parti socialiste
Bechtel;Marie-Françoise;app.SRC;Parti socialiste
Beffara;Jean-Marie;SRC;Parti socialiste
Bello;Huguette;GDR;Pour la Réunion, de toutes nos forces
Belot;Luc;SRC;Parti socialiste
Bénisti;Jacques Alain;UMP;Union pour un Mouvement Populaire
