Nom;Prénom;Groupe;Parti ou groupement politique;ID_AN
Abad;Damien;Les Républicains;Les Républicains;OMC_PA605036
Abadie;Caroline;La République en Marche;En marche !;OMC_PA719866
Abba;Bérangère;La République en Marche;En marche !;OMC_PA720242
Acquaviva;Jean-Félix;Non inscrit;Régions et peuples solidaires;OMC_PA719146
Adam;Damien;La République en Marche;En marche !;OMC_PA722038
Ahamada;Saïd;La République en Marche;En marche !;OMC_PA718954
Alauzet;Éric;La République en Marche;En marche !;OMC_PA605963
Ali;Ramlati;La République en Marche;En marche !;OMC_PA724827
Aliot;Louis;Non inscrit;Front National;OMC_PA720798
Amadou;Aude;La République en Marche;En marche !;OMC_PA720124
Anato;Patrice;La République en Marche;En marche !;OMC_PA721278
André;François;La République en Marche;En marche !;OMC_PA606675
Anglade;Pieyre-Alexandre;La République en Marche;En marche !;OMC_PA721158
Anthoine;Emmanuelle;Les Républicains;Les Républicains;OMC_PA719318
Ardouin;Jean-Philippe;La République en Marche;En marche !;OMC_PA719100
Arend;Christophe;La République en Marche;En marche !;OMC_PA720310
Attal;Gabriel;La République en Marche;En marche !;OMC_PA722190
Aubert;Julien;Les Républicains;Les Républicains;OMC_PA609726
Auconie;Sophie;UDI, Agir et Indépendants;Union des démocrates, radicaux et libéraux;OMC_PA719806
Autain;Clémentine;La France insoumise;La France Insoumise;OMC_PA588884
Avia;Laetitia;La République en Marche;En marche !;OMC_PA721624
Aviragnet;Joël;Nouvelle Gauche;Parti socialiste;OMC_PA642764
Azerot;Bruno Nestor;Gauche démocrate et républicaine;Parti communiste français;OMC_PA610634
Bachelier;Florian;La République en Marche;En marche !;OMC_PA719770
Bagarry;Delphine;La République en Marche;En marche !;OMC_PA718744
Baichère;Didier;La République en Marche;En marche !;OMC_PA721776
Balanant;Erwan;Mouvement Démocrate et apparentés;Mouvement Démocrate;OMC_PA719558
Bannier;Géraldine;Mouvement Démocrate et apparentés;Mouvement Démocrate;OMC_PA720256
Barbier;Frédéric;La République en Marche;En marche !;OMC_PA642724
Bareigts;Ericka;Nouvelle Gauche;Parti socialiste;OMC_PA610681
Barrot;Jean-Noël;Mouvement Démocrate et apparentés;Mouvement Démocrate;OMC_PA721836
Bassire;Nathalie;Les Républicains;Les Républicains;OMC_PA721046
Batho;Delphine;Nouvelle Gauche;Parti socialiste;OMC_PA335999
Battistel;Marie-Noëlle;Nouvelle Gauche;Parti socialiste;OMC_PA342415
Batut;Xavier;La République en Marche;En marche !;OMC_PA721522
Bazin;Thibault;Les Républicains;Les Républicains;OMC_PA642847
Bazin-Malgras;Valérie;Les Républicains;Les Républicains;OMC_PA718884
Beaudouin-Hubiere;Sophie;La République en Marche;En marche !;OMC_PA722170
Beauvais;Valérie;Les Républicains;Les Républicains;OMC_PA720210
Becht;Olivier;UDI, Agir et Indépendants;Union des démocrates, radicaux et libéraux;OMC_PA642935
Belhaddad;Belkhir;La République en Marche;En marche !;OMC_PA720362
Bello;Huguette;Gauche démocrate et républicaine;Parti communiste français;OMC_PA441
Benin;Justine;Mouvement Démocrate et apparentés;Mouvement Démocrate;OMC_PA720968
Benoit;Thierry;UDI, Agir et Indépendants;Union des démocrates, radicaux et libéraux;OMC_PA332228
Bergé;Aurore;La République en Marche;En marche !;OMC_PA722046
Bernalicis;Ugo;La France insoumise;La France Insoumise;OMC_PA720430
Berta;Philippe;Mouvement Démocrate et apparentés;Mouvement Démocrate;OMC_PA719488
Berville;Hervé;La République en Marche;En marche !;OMC_PA719218
Besson-Moreau;Grégory;La République en Marche;En marche !;OMC_PA718876
Bessot Ballot;Barbara;La République en Marche;En marche !;OMC_PA722312
Biémouret;Gisèle;Nouvelle Gauche;Parti socialiste;OMC_PA508
