Nom_de_famille;ID_AN;Nom;Groupe;Parti ou groupement politique
Abad;OMC_PA605036;M. Damien Abad;Les Républicains;Les Républicains
Abadie;OMC_PA719866;Mme Caroline Abadie;La République en Marche;En marche !
Abba;OMC_PA720242;Mme Bérangère Abba;La République en Marche;En marche !
Acquaviva;OMC_PA719146;M. Jean-Félix Acquaviva;Libertés et Territoires;Régions et peuples solidaires
AdamD;OMC_PA722038;M. Damien Adam;La République en Marche;En marche !
AdamL;OMC_PA721036;M. Lénaïck Adam;La République en Marche;En marche !
Ahamada;OMC_PA718954;M. Saïd Ahamada;La République en Marche;En marche !
Alauzet;OMC_PA605963;M. Éric Alauzet;La République en Marche;En marche !
Ali;OMC_PA724827;Mme Ramlati Ali;La République en Marche;En marche !
Aliot;OMC_PA720798;M. Louis Aliot;Non inscrit;Front National
Amadou;OMC_PA720124;Mme Aude Amadou;La République en Marche;En marche !
Anato;OMC_PA721278;M. Patrice Anato;La République en Marche;En marche !
Andre;OMC_PA606675;M. François André;La République en Marche;En marche !
Anglade;OMC_PA721158;M. Pieyre-Alexandre Anglade;La République en Marche;En marche !
Anthoine;OMC_PA719318;Mme Emmanuelle Anthoine;Les Républicains;Les Républicains
Ardouin;OMC_PA719100;M. Jean-Philippe Ardouin;La République en Marche;En marche !
Arend;OMC_PA720310;M. Christophe Arend;La République en Marche;En marche !
Aubert;OMC_PA609726;M. Julien Aubert;Les Républicains;Les Républicains
Auconie;OMC_PA719806;Mme Sophie Auconie;UDI, Agir et Indépendants;Union des démocrates, radicaux et libéraux
Autain;OMC_PA588884;Mme Clémentine Autain;La France insoumise;La France Insoumise
Avia;OMC_PA721624;Mme Laetitia Avia;La République en Marche;En marche !
Aviragnet;OMC_PA642764;M. Joël Aviragnet;Socialistes et apparentés;Parti socialiste
Azerot;OMC_PA610634;M. Bruno Nestor Azerot;Parti communiste français
Bachelier;OMC_PA719770;M. Florian Bachelier;La République en Marche;En marche !
Bagarry;OMC_PA718744;Mme Delphine Bagarry;La République en Marche;En marche !
Baichere;OMC_PA721776;M. Didier Baichère;La République en Marche;En marche !
Balanant;OMC_PA719558;M. Erwan Balanant;Mouvement Démocrate et apparentés;Mouvement Démocrate
Bannier;OMC_PA720256;Mme Géraldine Bannier;Mouvement Démocrate et apparentés;Mouvement Démocrate
Barbier;OMC_PA642724;M. Frédéric Barbier;La République en Marche;En marche !
Bareigts;OMC_PA610681;Mme Ericka Bareigts;Socialistes et apparentés;Parti socialiste
Barrot;OMC_PA721836;M. Jean-Noël Barrot;Mouvement Démocrate et apparentés;Mouvement Démocrate
Bassire;OMC_PA721046;Mme Nathalie Bassire;Les Républicains;Les Républicains
Batho;OMC_PA335999;Mme Delphine Batho;Non inscrit;Parti socialiste
Battistel;OMC_PA342415;Mme Marie-Noëlle Battistel;Socialistes et apparentés;Parti socialiste
Batut;OMC_PA721522;M. Xavier Batut;La République en Marche;En marche !
Bazin;OMC_PA642847;M. Thibault Bazin;Les Républicains;Les Républicains
BazinMalgras;OMC_PA718884;Mme Valérie Bazin-Malgras;Les Républicains;Les Républicains
BeaudouinHubiere;OMC_PA722170;Mme Sophie Beaudouin-Hubiere;La République en Marche;En marche !
Beauvais;OMC_PA720210;Mme Valérie Beauvais;Les Républicains;Les Républicains
Becht;OMC_PA642935;M. Olivier Becht;UDI, Agir et Indépendants;Union des démocrates, radicaux et libéraux
Belhaddad;OMC_PA720362;M. Belkhir Belhaddad;La République en Marche;En marche !
Bello;OMC_PA441;Mme Huguette Bello;Gauche démocrate et républicaine;Parti communiste français
Benin;OMC_PA720968;Mme Justine Benin;Mouvement Démocrate et apparentés;Mouvement Démocrate
Benoit;OMC_PA332228;M. Thierry Benoit;UDI, Agir et Indépendants;Union des démocrates, radicaux et libéraux
Berge;OMC_PA722046;Mme Aurore Bergé;La République en Marche;En marche !
Bernalicis;OMC_PA720430;M. Ugo Bernalicis;La France insoumise;La France Insoumise
Berta;OMC_PA719488;M. Philippe Berta;Mouvement Démocrate et apparentés;Mouvement Démocrate
Berville;OMC_PA719218;M. Hervé Berville;La République en Marche;En marche !
BessonMoreau;OMC_PA718876;M. Grégory Besson-Moreau;La République en Marche;En marche !
BessotBallot;OMC_PA722312;Mme Barbara Bessot Ballot;La République en Marche;En marche !
Biemouret;OMC_PA508;Mme Gisèle Biémouret;Socialistes et apparentés;Parti socialiste
Bilde;OMC_PA720822;M. Bruno Bilde;Non inscrit;Front National
Blanc;OMC_PA718990;Mme Anne Blanc;La République en Marche;En marche !
Blanchet;OMC_PA719024;M. Christophe Blanchet;La République en Marche;En marche !
Blein;OMC_PA608641;M. Yves Blein;La République en Marche;En marche !
Bois;OMC_PA720576;M. Pascal Bois;La République en Marche;En marche !
Bolo;OMC_PA720162;M. Philippe Bolo;Mouvement Démocrate et apparentés;Mouvement Démocrate
Bonnell;OMC_PA721344;M. Bruno Bonnell;La République en Marche;En marche !
Bonnivard;OMC_PA721410;Mme Émilie Bonnivard;Les Républicains;Les Républicains
BonoVandorme;OMC_PA718756;Mme Aude Bono-Vandorme;La République en Marche;En marche !
Bony JY;OMC_PA266793;M. Jean-Yves Bony;Les Républicains;Les Républicains
Borowczyk;OMC_PA719980;M. Julien Borowczyk;La République en Marche;En marche !
Bothorel;OMC_PA642695;M. Éric Bothorel;La République en Marche;En marche !
Boucard;OMC_PA721816;M. Ian Boucard;Les Républicains;Les Républicains
Bouchet;OMC_PA336316;M. Jean-Claude Bouchet;Les Républicains;Les Républicains
Boudie;OMC_PA606507;M. Florent Boudié;La République en Marche;En marche !
Bouillon;OMC_PA267233;M. Christophe Bouillon;Socialistes et apparentés;Parti socialiste
Bourguignon;OMC_PA608083;Mme Brigitte Bourguignon;La République en Marche;En marche !
Bourlanges;OMC_PA721608;M. Jean-Louis Bourlanges;Mouvement Démocrate et apparentés;Mouvement Démocrate
Bournazel;OMC_PA722030;M. Pierre-Yves Bournazel;UDI, Agir et Indépendants;Union des démocrates, radicaux et libéraux
Bouyx;OMC_PA719032;M. Bertrand Bouyx;La République en Marche;En marche !
BoyerP;OMC_PA718710;Mme Pascale Boyer;La République en Marche;En marche !
BoyerV;OMC_PA330684;Mme Valérie Boyer;Les Républicains;Les Républicains
BraunPivet;OMC_PA721908;Mme Yaël Braun-Pivet;La République en Marche;En marche !
Brenier;OMC_PA713448;Mme Marine Brenier;Les Républicains;Les Républicains
Breton;OMC_PA330008;M. Xavier Breton;Les Républicains;Les Républicains
BricoutG;OMC_PA267766;M. Guy Bricout;UDI, Agir et Indépendants;Union des démocrates, radicaux et libéraux
BricoutJ;OMC_PA605069;M. Jean-Louis Bricout;Socialistes et apparentés;Parti socialiste
Bridey;OMC_PA672;M. Jean-Jacques Bridey;La République en Marche;En marche !
Brocard;OMC_PA721336;Mme Blandine Brocard;La République en Marche;En marche !
Brochand;OMC_PA223837;M. Bernard Brochand;Les Républicains;Les Républicains
Brotherson;OMC_PA721118;M. Moetai Brotherson;Gauche démocrate et républicaine;Tavini Huiraatira No Te Ao Maohi - Front de libération de Polynésie
Bru;OMC_PA720772;M. Vincent Bru;Mouvement Démocrate et apparentés;Mouvement Démocrate
Brugnera;OMC_PA721328;Mme Anne Brugnera;La République en Marche;En marche !
Brulebois;OMC_PA719890;Mme Danielle Brulebois;La République en Marche;En marche !
Brun;OMC_PA718838;M. Fabrice Brun;Les Républicains;Les Républicains
Bruneel;OMC_PA720546;M. Alain Bruneel;Gauche démocrate et républicaine;Parti communiste français
Brunet;OMC_PA720116;Mme Anne-France Brunet;La République en Marche;En marche !
Buchou;OMC_PA722000;M. Stéphane Buchou;La République en Marche;En marche !
Buffet;OMC_PA689;Mme Marie-George Buffet;Gauche démocrate et républicaine;Parti communiste français
BureauBonnard;OMC_PA720622;Mme Carole Bureau-Bonnard;La République en Marche;En marche !
Cabare;OMC_PA719496;M. Pierre Cabaré;La République en Marche;En marche !
Calvez;OMC_PA721750;Mme Céline Calvez;La République en Marche;En marche !
Cariou;OMC_PA720298;Mme Émilie Cariou;La République en Marche;En marche !
Carrez;OMC_PA746;M. Gilles Carrez;Les Républicains;Les Républicains
CARVOUNAS_LUC_11032E;OMC_PA429893;M. Luc Carvounas;Socialistes et apparentés;Parti socialiste
Castellani;OMC_PA719138;M. Michel Castellani;Libertés et Territoires;Régions et peuples solidaires
Cattelot;OMC_PA720520;Mme Anne-Laure Cattelot;La République en Marche;En marche !
Cattin;OMC_PA767;M. Jacques Cattin;Les Républicains;Les Républicains
Causse;OMC_PA719922;M. Lionel Causse;La République en Marche;En marche !
Cazarian;OMC_PA721352;Mme Danièle Cazarian;La République en Marche;En marche !
Cazebonne;OMC_PA721166;Mme Samantha Cazebonne;La République en Marche;En marche !
Cazeneuve;OMC_PA719472;M. Jean-René Cazeneuve;La République en Marche;En marche !
Cazenove;OMC_PA720814;M. Sébastien Cazenove;La République en Marche;En marche !
Cellier;OMC_PA719440;M. Anthony Cellier;La République en Marche;En marche !
Cesarini;OMC_PA721860;M. Jean-François Cesarini;La République en Marche;En marche !
Chalas;OMC_PA719748;Mme Émilie Chalas;La République en Marche;En marche !
Chalumeau;OMC_PA719790;M. Philippe Chalumeau;La République en Marche;En marche !
Chapelier;OMC_PA719448;Mme Annie Chapelier;La République en Marche;En marche !
Charriere;OMC_PA721218;Mme Sylvie Charrière;La République en Marche;En marche !
Charvier;OMC_PA719170;Mme Fannette Charvier;La République en Marche;En marche !
Chassaigne;OMC_PA267306;M. André Chassaigne;Gauche démocrate et républicaine;Parti communiste français
Chassaing;OMC_PA719250;M. Philippe Chassaing;La République en Marche;En marche !
Chenu;OMC_PA720468;M. Sébastien Chenu;Non inscrit;Front National
Cherpion;OMC_PA856;M. Gérard Cherpion;Les Républicains;Les Républicains
Chiche;OMC_PA722126;M. Guillaume Chiche;La République en Marche;En marche !
Christophe;OMC_PA642868;M. Paul Christophe;UDI, Agir et Indépendants;Union des démocrates, radicaux et libéraux
Cinieri;OMC_PA267429;M. Dino Cinieri;Les Républicains;Les Républicains
Ciotti;OMC_PA330240;M. Éric Ciotti;Les Républicains;Les Républicains
Claireaux;OMC_PA702054;M. Stéphane Claireaux;La République en Marche;Cap sur l'avenir
